id_customer,merchant_name,id_order,order_date,order_total_paid,order_delivery_fee,order_total_promo,order_tip,order_year,order_normal_price,deliveroo_plus
86960,deliveroo,43320341,2019-02-22,22.61,0.0,0.0,1.0,2019,22.61,1
86960,deliveroo,43320343,2019-02-21,40.09,0.0,0.0,1.0,2019,40.09,1
86960,deliveroo,43640470,2019-02-27,29.43,0.0,0.0,1.0,2019,29.43,1
86960,deliveroo,43640471,2019-02-27,20.62,0.0,0.0,1.0,2019,20.62,1
86960,deliveroo,43720262,2019-03-01,18.28,0.0,0.0,1.0,2019,18.28,1
86960,deliveroo,43836492,2019-03-02,18.82,0.0,0.0,1.0,2019,18.82,1
86960,deliveroo,43869314,2019-03-03,15.45,0.0,0.0,1.0,2019,15.45,1
86960,deliveroo,43869315,2019-03-03,18.73,0.0,0.0,1.0,2019,18.73,1
86960,deliveroo,43999887,2019-03-04,13.16,0.0,0.0,1.0,2019,13.16,1
86960,deliveroo,43999888,2019-03-04,14.24,0.0,0.0,1.0,2019,14.24,1
86960,deliveroo,44267234,2019-03-10,16.9,0.0,0.0,1.0,2019,16.9,1
86960,deliveroo,44267236,2019-03-10,16.55,0.0,0.0,1.0,2019,16.55,1
86960,deliveroo,44267238,2019-03-09,18.59,0.0,0.0,1.0,2019,18.59,1
86960,deliveroo,44267240,2019-03-08,18.62,0.0,0.0,1.0,2019,18.62,1
86960,deliveroo,44267243,2019-03-08,18.95,0.0,0.0,1.0,2019,18.95,1
86960,deliveroo,44267246,2019-03-07,21.41,0.0,0.0,1.0,2019,21.41,1
86960,deliveroo,44574436,2019-03-13,31.09,0.0,0.0,1.0,2019,31.09,1
86960,deliveroo,44574438,2019-03-11,20.54,0.0,0.0,1.0,2019,20.54,1
86960,deliveroo,44574439,2019-03-11,15.05,0.0,0.0,1.0,2019,15.05,1
86960,deliveroo,44574440,2019-03-11,37.4,0.0,0.0,1.0,2019,37.4,1
86960,deliveroo,44685903,2019-03-11,23.84,0.0,0.0,1.0,2019,23.84,1
86960,deliveroo,45017123,2019-03-16,24.94,0.0,3.5,1.0,2019,28.44,1
86960,deliveroo,45211893,2019-03-20,18.62,0.0,0.0,1.0,2019,18.62,1
86960,deliveroo,45211894,2019-03-18,38.55,0.0,0.0,1.0,2019,38.55,1
86960,deliveroo,45211895,2019-03-21,16.87,0.0,0.0,1.0,2019,16.87,1
86960,deliveroo,45211896,2019-03-20,21.45,0.0,0.0,1.0,2019,21.45,1
86960,deliveroo,45211897,2019-03-23,16.79,0.0,0.0,1.0,2019,16.79,1
86960,deliveroo,45211898,2019-03-23,20.63,0.0,0.0,1.0,2019,20.63,1
86960,deliveroo,45211899,2019-03-22,19.64,0.0,0.0,1.0,2019,19.64,1
86960,deliveroo,45571884,2019-03-27,12.92,0.0,0.0,1.0,2019,12.92,1
86960,deliveroo,45571886,2019-03-26,15.04,0.0,0.0,1.0,2019,15.04,1
86960,deliveroo,45571887,2019-03-26,21.01,0.0,0.0,1.0,2019,21.01,1
86960,deliveroo,45571889,2019-03-28,21.41,0.0,0.0,1.0,2019,21.41,1
86960,deliveroo,45571892,2019-03-28,21.23,0.0,0.0,1.0,2019,21.23,1
86960,deliveroo,45619072,2019-03-29,21.05,0.0,0.0,1.0,2019,21.05,1
86960,deliveroo,45722405,2019-03-31,16.65,0.0,0.0,1.0,2019,16.65,1
86960,deliveroo,45722406,2019-03-31,18.84,0.0,0.0,1.0,2019,18.84,1
86960,deliveroo,45722407,2019-03-30,15.26,0.0,3.5,1.0,2019,18.759999999999998,1
87158,deliveroo,27304417,2018-10-05,28.81,0.0,0.0,0.0,2018,28.81,1
87158,deliveroo,27304421,2018-10-07,33.57,0.0,0.0,0.0,2018,33.57,1
87158,deliveroo,27808852,2018-09-29,31.73,0.0,0.0,0.0,2018,31.73,1
87158,deliveroo,27808853,2018-09-27,13.32,0.0,0.0,0.0,2018,13.32,1
87158,deliveroo,27808854,2018-09-24,27.02,0.0,0.0,0.0,2018,27.02,1
87158,deliveroo,27808855,2018-09-23,29.19,0.0,0.0,0.0,2018,29.19,1
